id,所属コード,グループ名,表示順,DN,有効期限（開始）,有効期限（終了）
,G420000,札幌児童館/こども若者事業部/こども育成課/北・西,850,,,
,G421000,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ,860,,,
,G421010,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/麻生児童会館,870,,,
,G421020,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/新川中央児童会館,880,,,
,G421021,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/新川中央児童会館/新琴似南小ミニ児童会館,890,,,
,G421030,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/エルムの森児童会館,900,,,
,G421031,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/エルムの森児童会館/白楊小ミニ児童会館,910,,,
,G421040,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/新琴似西児童会館,920,,,
,G421041,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/新琴似西児童会館/新琴似西小ミニ児童会館,930,,,
,G421050,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/新琴似児童会館,940,,,
,G421051,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/新琴似児童会館/新琴似小ミニ児童会館,950,,,
,G421060,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/新川児童会館,960,,,
,G421061,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/新川児童会館/新川小ミニ児童会館,970,,,
,G421070,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/幌北児童会館,980,,,
,G421071,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/幌北児童会館/北九条小ミニ児童会館,990,,,
,G421072,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/幌北児童会館/北陽小ミニ児童会館,1000,,,
,G421080,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/光陽児童会館,1010,,,
,G421081,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅰ/光陽児童会館/和光小ミニ児童会館,1020,,,
,G422000,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ,1030,,,
,G422010,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ/太平児童会館,1040,,,
,G422020,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ/あいの里児童会館,1050,,,
,G422021,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ/あいの里児童会館/拓北小ミニ児童会館,1060,,,
,G422030,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ/屯田北児童会館,1070,,,
,G422031,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ/屯田北児童会館/屯田北小ミニ児童会館,1080,,,
,G422040,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ/百合が原児童会館,1090,,,
,G422041,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ/百合が原児童会館/太平小ミニ児童会館,1100,,,
,G422050,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ/屯田児童会館,1110,,,
,G422051,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ/屯田児童会館/屯田西小ミニ児童会館,1120,,,
,G422060,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ/あいの里ひがし児童会館,1130,,,
,G422061,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ/あいの里ひがし児童会館/鴻城小ミニ児童会館,1140,,,
,G422070,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ/篠路西児童会館,1150,,,
,G422071,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ/篠路西児童会館/茨戸小ミニ児童会館,1160,,,
,G422080,札幌児童館/こども若者事業部/こども育成課/北・西/北Ⅱ/篠路児童会館,1170,,,
,G423000,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅰ,1180,,,
,G423010,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅰ/山の手児童会館,1190,,,
,G423020,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅰ/二十四軒児童会館,1200,,,
,G423021,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅰ/二十四軒児童会館/山の手南小ミニ児童会館,1210,,,
,G423030,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅰ/発寒南さくら児童会館,1220,,,
,G423031,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅰ/発寒南さくら児童会館/琴似小ミニ児童会館,1230,,,
,G423040,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅰ/西野児童会館,1240,,,
,G423041,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅰ/西野児童会館/西野第二小ミニ児童会館,1250,,,
,G423050,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅰ/手稲東児童会館,1260,,,
,G423051,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅰ/手稲東児童会館/手稲東小ミニ児童会館,1270,,,
,G423060,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅰ/平和児童会館,1280,,,
,G423061,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅰ/平和児童会館/福井野小ミニ児童会館,1290,,,
,G424000,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅱ,1300,,,
,G424010,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅱ/発寒北児童会館,1310,,,
,G424020,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅱ/発寒児童会館,1320,,,
,G424021,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅱ/発寒児童会館/発寒小ミニ児童会館,1330,,,
,G424030,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅱ/宮の沢児童会館,1340,,,
,G424031,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅱ/宮の沢児童会館/手稲宮丘小ミニ児童会館,1350,,,
,G424032,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅱ/宮の沢児童会館/西園小ミニ児童会館,1360,,,
,G424040,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅱ/八軒児童会館,1370,,,
,G424041,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅱ/八軒児童会館/八軒小ミニ児童会館,1380,,,
,G424050,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅱ/八軒北児童会館,1390,,,
,G424051,札幌児童館/こども若者事業部/こども育成課/北・西/西Ⅱ/八軒北児童会館/八軒西小ミニ児童会館,1400,,,
,G430000,札幌児童館/こども若者事業部/こども育成課/東・豊平,1410,,,
,G431000,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅰ,1420,,,
,G431010,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅰ/ひのまる児童会館,1430,,,
,G431020,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅰ/北光児童会館,1440,,,
,G431021,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅰ/北光児童会館/北園小ミニ児童会館,1450,,,
,G431030,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅰ/北栄児童会館,1460,,,
,G431031,札幌児童館/こども若者事業部/こども育成課/東・豊平/東Ⅰ/北栄児童会館/栄小ミニ児童会館,1470,,,
